Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,60%,70%,80%,90%,95%,99%,100%
grpc,/company.v1.UserService/GetUsers,6598,0,64,78.19345888662632,41.72860499966191,940.6747720004205,80499.06001818733,37.63368754705534,0.0,64,69,75,84,100,130,410,940
grpc,/company.v1.UserService/GetUserStatistics,6673,0,14,26.689204775790635,8.437674001470441,507.85044800068135,1109.6779559418553,38.061472719233144,0.0,14,16,19,25,40,64,340,510
grpc,/company.v1.UserService/GetUserPermissions,19305,0,15,28.89954914426337,4.35378799920727,541.9011289995979,1647.2488992488993,110.11190331856673,0.0,15,18,22,30,47,76,360,540
grpc,/company.v1.UserService/GetUserDetails,6757,0,13,31.107410658276535,6.5534840014152,528.5414310001215,259.5959745449164,38.54059211207228,0.0,13,15,20,31,70,110,340,530
,Aggregated,39333,0,17,37.17275761449136,4.35378799920727,940.6747720004205,14544.832812142477,224.3476556969275,0.0,17,22,35,55,74,100,360,940
